IP_Address	Date_Time	Request_Method	Requested_Resource	Status_Code	Bytes_Sent
66.102.9.170	05/Nov/2019:20:32:48	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
66.102.9.170	05/Nov/2019:20:32:48	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
66.102.9.168	05/Nov/2019:20:32:48	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.102.9.184	05/Nov/2019:20:32:49	GET	/	301	184
66.249.81.202	05/Nov/2019:20:32:49	GET	/	200	3835
66.102.9.166	05/Nov/2019:20:32:50	GET	/	200	3835
64.233.172.22	05/Nov/2019:20:32:51	GET	/	301	184
66.102.9.168	05/Nov/2019:20:32:51	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
66.102.9.166	05/Nov/2019:20:32:51	GET	/assets/js/index.js?v=6ea3fea03b	200	651
66.102.9.168	05/Nov/2019:20:32:51	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
64.233.172.24	05/Nov/2019:20:32:51	GET	/	301	184
64.233.172.10	05/Nov/2019:20:32:51	GET	/	200	3835
64.233.172.10	05/Nov/2019:20:32:51	GET	/	200	3835
66.102.9.168	05/Nov/2019:20:32:51	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
66.102.9.166	05/Nov/2019:20:32:51	GET	/	200	3835
64.233.172.10	05/Nov/2019:20:32:52	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
64.233.172.6	05/Nov/2019:20:32:52	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
64.233.172.8	05/Nov/2019:20:32:52	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
64.233.172.8	05/Nov/2019:20:32:52	GET	/assets/js/index.js?v=6ea3fea03b	200	651
64.233.172.10	05/Nov/2019:20:32:52	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
64.233.172.8	05/Nov/2019:20:32:52	GET	/assets/js/index.js?v=6ea3fea03b	200	651
64.233.172.6	05/Nov/2019:20:32:52	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
64.233.172.6	05/Nov/2019:20:32:52	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.102.9.170	05/Nov/2019:20:32:52	GET	/robots.txt	200	72
66.102.9.170	05/Nov/2019:20:32:53	GET	/	200	3835
66.102.9.182	05/Nov/2019:20:32:54	GET	/	301	184
66.102.9.168	05/Nov/2019:20:32:54	GET	/	200	3835
66.102.9.166	05/Nov/2019:20:32:54	GET	/robots.txt	200	72
64.233.172.10	05/Nov/2019:20:32:54	GET	/	200	3835
64.233.172.8	05/Nov/2019:20:32:54	GET	/	200	3835
66.102.9.170	05/Nov/2019:20:32:54	GET	/	200	3835
66.102.9.170	05/Nov/2019:20:32:55	GET	/	200	3835
64.233.172.6	05/Nov/2019:20:32:55	GET	/robots.txt	200	72
64.233.172.6	05/Nov/2019:20:32:55	GET	/robots.txt	200	72
66.102.9.186	05/Nov/2019:20:32:56	GET	/	301	184
64.233.172.6	05/Nov/2019:20:32:56	GET	/	200	3835
